section,item_id,metric,year,period,value,unit,bound,attribute,instrument_en,instrument_zh,instrument_group,presence_central,presence_local,provincial_subsidy_rmb,source,notes
national_series,N12,societal_rd_annual_growth_15fyp,,2026-2030,7,percent_cagr_constant_prices,lower,indicative_target,,,,,,NA,Outline col.1 #4; ch.1 年均增长7%以上; note ③ 按不变价格计算,"Growth floor, not a 2030 RMB level. 2030 Outline level cell is blank (—). Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
national_series,N13,national_compute_scale,2026,,NA,qualitative,,qualitative_only,,,,,,NA,CAC; Outline ch.12,Described as global #2 qualitatively. No published RMB or PFLOPS total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
illustrative_rd_envelope,P00,societal_rd_illustrative_floor,2025,,3.920000,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2025-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
illustrative_rd_envelope,P01,societal_rd_illustrative_floor,2026,,4.194400,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2026-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
illustrative_rd_envelope,P02,societal_rd_illustrative_floor,2027,,4.488008,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2027-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
illustrative_rd_envelope,P03,societal_rd_illustrative_floor,2028,,4.802169,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2028-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
illustrative_rd_envelope,P04,societal_rd_illustrative_floor,2029,,5.138320,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2029-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
illustrative_rd_envelope,P05,societal_rd_illustrative_floor,2030,,5.498003,RMB_tn,lower,indicative_projection_not_official,,,,,,NA,Computed: MOST 2025 floor 3.92 × Outline >7% constant-price CAGR,"ILLUSTRATIVE PROJECTION, not an official point estimate. Path = 3.92 × 1.07^(2030-2025). Official sources give a 2025 lower bound and a >7% annual growth floor; they do not publish 2026–2030 RMB levels. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C01,C01,,,,presence,,qualitative_instrument,National major S&T projects,国家重大科技项目,science_projects,1,0,NA,Outline ch.8; MOST 2026-03-05,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C02,C02,,,,presence,,qualitative_instrument,NSFC original / disruptive projects,国家自然科学基金原创性颠覆性项目,science_projects,1,0,NA,Outline ch.8.2,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C03,C03,,,,presence,,qualitative_instrument,National labs and major S&T infrastructure,国家实验室与重大科技基础设施,labs_infra,1,0,NA,Outline ch.9 / col.9; MOST 2026-03-05,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C04,C04,,,,presence,,qualitative_instrument,Hub compute / East-Data-West-Computing,枢纽算力 / 东数西算 / 全国一体化算力网,compute,1,0,NA,Outline ch.12 col.7; CAC,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C05,C05,,,,presence,,qualitative_instrument,Central fiscal S&T allocation,中央财政科技经费,funding_mode,1,0,NA,Outline ch.9.2,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C06,C06,,,,presence,,qualitative_instrument,Open competition / awards-in-lieu / post-subsidy,揭榜挂帅 / 以奖代补 / 后补助,funding_mode,1,0,NA,Outline ch.8.1,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C07,C07,,,,presence,,qualitative_instrument,R&D super-deduction (tax),研发费用加计扣除,tax_procurement,1,0,NA,Outline ch.9; MOST 2026-03-05,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,C08,C08,,,,presence,,qualitative_instrument,Government purchase of compute,政府购买算力 / 算力租赁,tax_procurement,1,0,NA,Outline ch.12; CAC,"Layer=central. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L01,L01,,,,presence,,qualitative_instrument,Central-local co-funding of major S&T tasks,重大科技任务央地投入共担,funding_mode,1,1,NA,Outline ch.9.2,"Layer=cofunded. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L02,L02,,,,presence,,qualitative_instrument,Low-latency compute in qualified regions,有条件地区低时延算力,compute,0,1,NA,CAC digital China materials,"Layer=local. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L03,L03,,,,presence,,qualitative_instrument,Jing-Jin-Ji / Yangtze Delta / GBA international S&T centers,国际科技创新中心（京津冀 / 长三角 / 粤港澳大湾区）,regional,0,1,NA,MOST 2026-03-05; Outline ch.9.2,"Layer=local. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L03b,L03b,,,,presence,,qualitative_instrument,"Regional S&T hubs: Chengdu-Chongqing, Wuhan, Xi'an",成渝 / 武汉 / 西安,regional,0,1,NA,MOST 2026-03-05,"Layer=local. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L04,L04,,,,presence,,qualitative_instrument,Local first-mover pilots,地方先行先试,regional,0,1,NA,MOST 2026-03-05,"Layer=local. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
central_vs_local_instruments,L05,L05,,,,presence,,qualitative_instrument,First-of-kind (首台套) application,首台（套）/ 首批次 / 首版次,application,0,1,NA,Outline; Shenzhen 15th FYP still has no subsidy table,"Layer=local. Presence only, not an RMB amount. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
provincial_subsidy_gap,G00,all_provinces_aggregate_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G01,jing_jin_ji_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G02,yangtze_delta_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G03,gba_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G04,chengdu_chongqing_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G05,wuhan_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G06,xian_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G07,shenzhen_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
provincial_subsidy_gap,G08,other_qualified_regions_subsidy,,2025-2030,NA,RMB_tn,,unpublished_gap,,,,,,NA,"gov.cn / MOST / CAC / NDRC Outline / Shenzhen 15th FYP, crawled 2026-09-03",Explicit documentation of an unpublished provincial/city subsidy RMB total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
